search_term,nlm_ID,title,title_abbr,eissn,issn,impact_factor
""Cell"[ta]","0413066","Cell.","Cell","1097-4172","0092-8674",66.85
""Cell Metabolism"[Journal]","101233170","Cell metabolism.","Cell Metab","1932-7420","1550-4131",31.373
""Molecular Cell"[Journal]","9802571","Molecular cell.","Mol Cell","1097-4164","1097-2765",19.328
""Cell Rep"[ta]","101573691","Cell reports.","Cell Rep","2211-1247","",9.995
""Cell Systems"[Journal]","101656080","Cell systems.","Cell Syst","2405-4720","2405-4712",11.091
""Curr biol"[Journal]","9107782","Current biology : CB.","Curr Biol","1879-0445","0960-9822",10.9
""Developmental Cell"[Journal]","101120028","Developmental cell.","Dev Cell","1878-1551","1534-5807",13.417
""Structure"[ta]","101087697","Structure.","Structure","1878-4186","0969-2126",5.871
""Nature"[ta]","0410462","Nature.","Nature","1476-4687","0028-0836",69.504
""Nat Cell Biol"[ta]","100890575","Nature cell biology.","Nat Cell Biol","1476-4679","1465-7392",28.213
""Nature Metabolism"[Journal]","101736592","Nature metabolism.","Nat Metab","2522-5812","",19.865
""Nature Aging"[Journal]","101773306","Nature aging.","Nat Aging","2662-8465","",6.2
""Nature Communications"[Journal]","101528555","Nature communications.","Nat Commun","2041-1723","",17.694
""Science"[ta]","0404511","Science.","Science","1095-9203","0036-8075",63.714
""Sci Signal"[ta]","101465400","Science signaling.","Sci Signal","1937-9145","1945-0877",9.517
""Science Advances"[Journal]","101653440","Science advances.","Sci Adv","2375-2548","",14.957
""PLoS Biology"[Journal]","101183755","PLoS biology.","PLoS Biol","1545-7885","1544-9173",9.593
""PLoS Genetics"[Journal]","101239074","PLoS genetics.","PLoS Genet","1553-7404","1553-7390",6.02
""Nature Reviews Molecular Cell Biology"[Journal]","100962782","Nature reviews. Molecular cell biology.","Nat Rev Mol Cell Biol","1471-0080","1471-0072",113.915
""Nature Reviews Genetics"[Journal]","100962779","Nature reviews. Genetics.","Nat Rev Genet","1471-0064","1471-0056",59.581
""Trends in Endocrinology and Metabolism"[Journal]","9001516","Trends in endocrinology and metabolism : TEM.","Trends Endocrinol Metab","1879-3061","1043-2760",10.586
""Trends in Genetics"[Journal]","9883083","Trends in genetics.","","","0168-9479",11.3
""Trends in Biochemical Sciences"[Journal]","7610674","Trends in biochemical sciences.","Trends Biochem Sci","","0968-0004",14.264
""Trends Cell Biol"[ta]","9200566","Trends in cell biology.","Trends Cell Biol","1879-3088","0962-8924",21.167
""Annual Review of Genetics"[Journal]","0117605","Annual review of genetics.","Annu Rev Genet","1545-2948","0066-4197",13.826
""Annual Review of Biochemistry"[Journal]","2985150R","Annual review of biochemistry.","Annu Rev Biochem","1545-4509","0066-4154",27.258
""Annual Review of Cell and Developmental Biology"[Journal]","9600627","Annual review of cell and developmental biology.","Annu Rev Cell Dev Biol","1530-8995","1081-0706",11.902
""Annual Review of Cell and Developmental Biology"[Journal]","8602195","Annual review of cell biology.","Annu Rev Cell Biol","","0743-4634",null
""Annual Review of Nutrition"[Journal]","8209988","Annual review of nutrition.","Annu Rev Nutr","1545-4312","0199-9885",9.323
""Journal of Lipid Research"[Journal]","0376606","Journal of lipid research.","J Lipid Res","1539-7262","0022-2275",6.676
""J Cell Biol"[ta]","0375356","The Journal of cell biology.","J Cell Biol","1540-8140","0021-9525",8.077
""Mol Cell Biol"[ta]","8109087","Molecular and cellular biology.","Mol Cell Biol","1098-5549","0270-7306",5.069
""Journal of Biological Chemistry"[Journal]","2985121R","The Journal of biological chemistry.","J Biol Chem","1083-351X","0021-9258",5.486
""PNAS"[Journal]","9918367777906676","PNAS nexus.","PNAS Nexus","2752-6542","",null
""PNAS"[Journal]","7505876","Proceedings of the National Academy of Sciences of the United States of America.","Proc Natl Acad Sci U S A","1091-6490","0027-8424",12.779
""eLife"[Journal]","101579614","eLife.","Elife","2050-084X","",8.713
""The EMBO Journal"[Journal]","8208664","The EMBO journal.","EMBO J","1460-2075","0261-4189",14.012
""NAR Genom Bioinform"[ta]","101756213","NAR genomics and bioinformatics.","NAR Genom Bioinform","2631-9268","",11.4
""J Cell Sci"[ta]","0052457","Journal of cell science.","J Cell Sci","1477-9137","0021-9533",5.235
""Wiley Interdiscip Rev Dev Biol"[ta]","101576624","Wiley interdisciplinary reviews. Developmental biology.","Wiley Interdiscip Rev Dev Biol","1759-7692","1759-7684",null
""Genes and Development"[Journal]","8711660","Genes & development.","Genes Dev","1549-5477","0890-9369",12.89
