year,attendee,affiliation,role,session,title
2023,Dennis Voelker,"National Jewish Health, United States",session,1,"Keynote Session: Dynamic Regulation of Lipid Metabolizing Enzymes"
2023,Roger Williams,"Medical Research Council, United Kingdom",speaker,1,"Structural Mechanisms of Activation of Phosphoinositide 3-Kinase Superfamily Enzymes on Membranes."
2023,Sarah Spiegel,"Virginia Commonwealth University, United States",speaker,1,"Sphingosine-1-Phosphate: Lipid Signaling in Health and Disease"
2023,Thurl Harris,"University of Virginia, United States",session,2,"Membrane Architecture and Signaling"
2023,Bhawik Jain,"Vanderbilt University, United States",speaker,2,"A Phosphatidylinositol 4-Phosphate Undercurrent in the Secretory Pathway is Pumped to the Cytosolic Surface of the Golgi by a P4-ATPase"
2023,Karin Reinisch,"Yale University School of Medicine, United States",speaker,2,"A Proposed Role for Protein-Mediated Bulk Lipid Transfer in Membrane Expansion and Organelle Biogenesis."
2023,Nicolas Vitale,"CNRS, INCI UPR3212, France",speaker,2,"Novel Tools to Study the Role of Different Forms of Phosphatidic Acid in Neurosecretion"
2023,Patricia Bassereau,"Institut Curie, France",speaker,2,"Protein Clustering Mediated by Fluid Lipid Membranes"
2023,Tamas Balla,"National Institute of Child Health and Human Development, NIH, United States",speaker,2,"Phosphoinositide Lipids: Key Organizers of Membrane Lipid Distribution and Metabolism."
2023,Rosalind Coleman,"University of North Carolina-Chapel Hill, United States",session,3,"Physiology and Pathophysiology of Membrane Lipid Metabolism"
2023,Joost Holthuis,"Osnabrück University, Germany",speaker,3,"Pathophysiological Impact of a Disrupted Sphingomyelin Gradient in the Secretory Pathway"
2023,Lucio Cocco,"University of Bologna, Italy",speaker,3,"PLC-beta1 in Myelodysplastic Syndromes"
2023,Pavel Barahtjan,"Max Planck Institute of Molecular Cell Biology and Genetics, Germany",speaker,3,"Plasma Membrane Lipid Asymmetry is Linked to Cellular Energetics"
2023,Svenja Bolz,"Forschungsinstitut für Molekulare Pharmakologie (FMP",speaker,3,"Synaptotagmin 1-Triggered Lipid Signaling Couples Exo- and Endocytosis"
2023,L.  Ashley Cowart,"Virginia Commonwealth University, United States",session,4,"Sensors and Analyses of Lipid Diversity and Dynamics"
2023,Binks Wattenberg,"Virginia Commonwealth University, United States",speaker,4,"The ORMDLs: Direct Ceramide Sensors Homeostatically Regulating Sphingolipid BIosynthesis"
2023,Claire Weckerly,"University of Pittsburgh School of Medicine, United States",speaker,4,"Characterizing the Membrane Binding of Nir1-LNS2 for Its Use as a Phosphatidic Acid Biosensor"
2023,Jeremy Baskin,"Cornell University, United States",speaker,4,"Optogenetic Membrane Editors for Manipulating Phosphatidic Acid Metabolism and Signaling"
2023,Tatyana Igumenova,"Texas A&M University, United States",speaker,4,"The C1 Domain Family: Like Yet Unlike"
2023,Wonhwa Cho,"University of Illinois Chicago, United States",speaker,4,"Lipid Imaging, Signaling, and Drug Discovery"
2023,Michael Wolfgang,"Johns Hopkins University, United States",session,5,"Lipid Droplets and Systemic Lipid Metabolism"
2023,Danielle Smith,"Johns Hopkins University School of Medicine, United States",speaker,5,"Rab30 Regulates Lipid Homeostasis in the Hepatocyte During Fasting"
2023,James Olzmann,"University of California, Berkeley, United States",speaker,5,"Cellular Mechanisms of Lipid Homeostasis and Lipotoxicity"
2023,Karen Reue,"University of California, Los Angeles, United States",speaker,5,"SeXX and Adipose Tissue"
2023,Scott Johnson,"Mayo Clinic, United States",speaker,5,"PNPLA3 is a Triglyceride Lipase Selectively Mobilizing PUFAs for ER Membrane Desaturation and VLDL Secretion During Lipogenesis"
2023,Yusuf Hannun,"Stony Brook University, United States",session,6,"Regulation of Membrane Lipids and Lipid Metabolites"
2023,Brooke Emerling,"Sanford Burnham Prebys Medical Discovery Institute, United States",speaker,6,"Phosphoinositide Dynamics in Growth Control and Metabolism"
2023,Delaney Kaper,"University of Gothenburg, Sweden",speaker,6,"C. elegansReveals AdipoR2/Fatty Acid Elongation Complex and Suppressors of PUFA Deficiency Phenotypes"
2023,Michael Airola,"Stony Brook University, United States",speaker,6,"Regulation of Intracellular Lipolysis"
2023,Shamshad Cockcroft,"UCL, United Kingdom",speaker,6,"CDP-Diacylglycerol Synthases as a Gateway to Phosphoinositide and Cardiolipin Synthesis"
2023,Teresa Dunn,"Uniformed Services Univ of the Health Sciences, United States",speaker,6,"SPTSSA Variants Disrupt ORMDL Regulation of SPT and Cause a Complex Hereditary Spastic Paraplegia"
2023,Eric Klein,"Rutgers University-Camden, United States",session,7,"Lipid Metabolism in Yeast and Prokaryotes"
2023,Cody Lloyd,"The Pennsylvania State University, United States",speaker,7,"Biological C(sp3)-C(sp3) Coupling: An Extreme Strategy to Form the Phospholipid Monolayer Membrane"
2023,Fikadu Tafesse,"Oregon Health & Science University, United States",speaker,7,"The Battle Inside: Cellular Lipids vs. Infections"
2023,Robert Ernst,"Saarland University, Germany",speaker,7,"Lipid Fingerprints of ER Stress"
2023,Shu-Sin Chng,"National University of Singapore, Singapore",speaker,7,"Bacterial Lipid Trafficking and Outer Membrane Homeostasis"
